id,imdb_id,title,original_title,overview,tagline,status,runtime,release_date,budget,revenue,popularity,vote_average,vote_count,genres,production_companies,production_countries,spoken_languages,homepage,adult,original_language,belongs_to_collection,poster_path,backdrop_path
43514,tt0036422,Thank Your Lucky Stars,Thank Your Lucky Stars,An Eddie Cantor look-alike organizes an all-star show to help the war effort.,A thousand shows in one!,Released,127,9/25/1943,1568000,3621000,2.3637,6.1,33,"Comedy, Music",Warner Bros. Pictures,United States of America,English,,FALSE,en,,/rVqCzzIBN38e1r4ZcbNlaziE4Bg.jpg,/yG91RiprmrXxGYBSKRvc3Iz0DAS.jpg
43515,tt0036363,The Sky's the Limit,The Sky's the Limit,"Flying Tiger Fred Atwell sneaks away from his famous squadron's personal appearance tour and goes incognito for several days of leave. He quickly falls for photographer Joan Manion, pursuing her in the guise of a carefree drifter.","Here's a thrill, new and gay! It's a dance filled holiday!",Released,89,7/13/1943,871000,2185000,0.9038,6.2,18,"Comedy, Romance, Music",RKO Radio Pictures,United States of America,English,,FALSE,en,,/wU6EtdyRfHIRXHxLNW7SUnGYLjg.jpg,/wSdYIGrH67alXUp41KenYIS4QR5.jpg
43523,tt0034882,I Married an Angel,I Married an Angel,A count who ignores an infatuated secretary thinks he has met his match when an angel from Heaven shows up.,America's Favorite Sweethearts in their final pairing!,Released,84,07/09/1942,1492000,1236000,1.5442,5,3,"Romance, Comedy, Fantasy",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/8q7llFDQwERKC04hRnQhwaUKTNJ.jpg,/nVOl2gERkAArtnEZdqBsDgg5t27.jpg
43539,tt1458175,The Next Three Days,The Next Three Days,"A married couple's life is turned upside down when the wife is accused of murdering her boss. Her husband John would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. When the strain of being separated from her husband and son gets to her, John decides to find a way to break her out.",What if you had 72 hours to save everything you live for?,Released,133,11/18/2010,30000000,67448651,7.8389,7.084,2907,"Romance, Drama, Thriller, Crime","Hwy61, Lionsgate, Fidֳ©litֳ© Films","United States of America, France",English,,FALSE,en,,/wBaRZ3aHa7qoYTSY0ONbXrXYk4B.jpg,/kkuykQHWWTcmJ9yerrLF9elCtkc.jpg
43546,tt0036628,Bathing Beauty,Bathing Beauty,"After breaking up with her fiancֳ©, a gym teacher returns to work at a women's college, but a legal loophole allows him to enroll as one of her students.",Douse your troubles...in a swim-past of ever-changing colors!,Released,101,6/27/1944,2361000,6892000,3.2664,5.8,30,"Music, Comedy, Romance",Metro-Goldwyn-Mayer,United States of America,"English, Spanish, French",,FALSE,en,,/9vqXU1hFpyLkJK4Wvt3bfUVMbqI.jpg,/7SCpXfIsFbqaA6ffcdSUevaQdLF.jpg
43552,tt1452628,Vanishing on 7th Street,Vanishing on 7th Street,"A mysterious global blackout yields countless populations to simply vanish, leaving only their clothes and possessions behind. A small handful of survivors band together in a dimly-lit tavern on 7th Street, struggling to combat the apocalyptic horror. Realizing they may in fact be the last people on earth, a dark shadow hones in on them alone.",Stay in the light.,Released,92,09/11/2010,10000000,1671196,3.2903,5.318,582,"Mystery, Horror, Thriller","Herrick Entertainment, Circle of Confusion, Forest Park Pictures, Mandalay Vision",United States of America,English,http://www.vanishingon7th.com/,FALSE,en,,/8LkZFmL2UHbmP7UnjlRP5gqvvqh.jpg,/aV5j1ksfJGf6idbY5O6i2IyefTI.jpg
43566,tt0115645,Before and After,Before and After,Two parents deal with the effects when their son is accused of murdering his girlfriend.,A murder. A suspect. A shadow of a doubt.,Released,108,2/23/1996,35000000,8797839,4.1809,5.915,199,"Drama, Thriller, Mystery","Hollywood Pictures, Caravan Pictures",United States of America,English,,FALSE,en,,/oK8UKDrjFS14OFoihaQPfmmMOyI.jpg,/vmw1GLjWlCQJZVSaRthQYbf7Ypf.jpg
43593,tt0464154,Piranha 3D,Piranha 3D,"Each year the population of sleepy Lake Victoria, Arizona explodes from 5,000 to 50,000 residents for the annual Spring Break celebration. But then, an earthquake opens an underwater chasm, releasing an enormous swarm of ancient Piranha that have been dormant for thousands of years, now with a taste for human flesh. This year, there's something more to worry about than the usual hangovers and complaints from locals, a new type of terror is about to be cut loose on Lake Victoria.",There's something in the water.,Released,88,8/20/2010,24000000,83188165,8.7449,5.4,2253,"Comedy, Horror","Atmosphere Entertainment MM, Chako Film Company, Dimension Films, Aja / Levasseur Productions",United States of America,English,http://www.piranha-3d.com,FALSE,en,Piranha 3D Collection,/lMLS2OFBbNYMSB1ZbVp4q2S4zTU.jpg,/AF0PiDItegyUtlBGDMGlSQbtro.jpg
43595,tt0024548,She Done Him Wrong,She Done Him Wrong,"New York singer and nightclub owner Lady Lou has more men friends than you can imagine. One of them is a vicious criminal whoג€™s escaped and is on the way to see ג€hisג€ girl, not realising she hasnג€™t exactly been faithful in his absence. Help is at hand in the form of young Captain Cummings, a local temperance league leader.",Mae West gives a 'Hot Time' to the nation!,Released,66,02/09/1933,200000,2200000,1.2623,5.778,115,"Comedy, Crime",Paramount Pictures,United States of America,English,,FALSE,en,,/kwxAUj8tf9kO2ESAriD8foYN28q.jpg,/mzSpJ0ne8YiGLYd3UIssneTV9mJ.jpg
43600,tt0023926,Dancing Lady,Dancing Lady,"Janie lives to dance and will dance anywhere, even stripping in a burlesque house. Tod Newton, the rich playboy, discovers her there and helps her get a job in a real Broadway musical being directed by Patch. Tod thinks he can get what he wants from Janie, Patch thinks Janie is using her charms rather than talent to get to the top, and Janie thinks Patch is the greatest. Steve, the stage manager, has the Three Stooges helping him manage all the show girls. Fred Astaire and Nelson Eddy make appearances as famous Broadway personalities.",The Scenes Are Enthralling! The Electrical Ballet! Girls in Cellophane! Mirrors of Venus! Merry-Go-Round Girls,Released,92,11/24/1933,923055,2400000,1.9485,6.9,39,"Comedy, Romance, Music",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/bJc8DTD34kbpccaMDROojHXJ0RS.jpg,/hfdfEX02JiXT1jlkROm31xj1Nif.jpg
43609,tt1193507,My Own Love Song,My Own Love Song,A wheelchair-bound singer and her best friend embark on a roadtrip to Memphis.,,Released,100,04/07/2010,1600000,300849,1.4875,6.3,59,"Comedy, Drama",Lֳ©gende Films,"France, United States of America",English,,FALSE,en,,/aO4tSR7YdVUhM7QyXMRlNWNYGcg.jpg,/7zqxYVYWwbKY1ehoit7PeXh4v31.jpg
43610,tt0038213,The Valley of Decision,The Valley of Decision,"Mary Rafferty comes from a poor family of steel mill workers in 19th Century Pittsburgh. Her family objects when she goes to work as a maid for the wealthy Scott family which controls the mill. Mary catches the attention of handsome scion Paul Scott, but their romance is complicated by Paul's engagement to someone else and a bitter strike among the mill workers.",The Book That Thrilled Millions!,Released,119,05/03/1945,2160000,9132000,2.8188,7.3,25,"Drama, Romance",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/kiHMWi0OWMIovdCnd4AbMEyQh3c.jpg,/yfd5hQMky9HttGy56BV3ZVKiV3D.jpg
43615,tt1442576,"Lula, the Son of Brazil","Lula, o Filho do Brasil",The true story of a working class boy who moves to the nation's financial capital at a young age and becomes one the most influential politicians in Brazilian history.,Family man. Militant. Hero. Convict. Savior. Romantic. Legend.,Released,130,01/01/2010,9500000,3785593,1.3358,5.524,83,"Drama, History","LC Barreto, Filmes do Equador, InterVideo Productions Limited, Globo Filmes",Brazil,Portuguese,,FALSE,pt,,/2P4aDW9P10rNUoFvgIdiFbM5dAZ.jpg,/1HosReoyDPOEbBdQVlnboFdcbQj.jpg
43654,tt0101798,Edward II,Edward II,"England, 14th century. King Edward II falls in love with Piers Gaveston, a young man of humble origins, whom he honors with favors and titles of nobility. The cold and jealous Queen Isabella conspires with the evil Mortimer to get rid of Gaveston, overthrow her husband and take powerג€¦","A classic tale of sex, revenge, and love",Released,90,10/18/1991,1003575,706131,2.5166,6.4,57,"History, Romance, Drama","BBC Film, Working Title Films, British Screen Productions, Uplink","United Kingdom, Japan",English,,FALSE,en,,/sB3ktIeyCoudoRMJgzo9goA9k1v.jpg,/47t1CrvgO1ZnNAwZN5L2gB1eLpo.jpg
43664,tt0281680,"The Bread, My Sweet","The Bread, My Sweet","Dominic works round the clock: nights making biscotti for his family's bakery in a working-class Italian neighborhood in Pittsburgh, then days downtown where he's a specialist in firing people at a company that negotiates mergers. He's thrown for a loop with he learns that Bella, an elderly neighbor who's his family's closest friend, has but a few months to live. All her life, she's saved money in coffee cans for her daughter, Lucca's, wedding, but Lucca is off in foreign lands, initially as a Peace Corps volunteer, and doesn't need a man. Dominic vows to bring Lucca home and convince her to marry him to fulfill Bella's most fervent wish. What will Lucca say?",In Italian a good man is a piece of bread.,Released,105,4/21/2001,600000,1023156,1.0446,5.4,12,"Drama, Romance",,United States of America,"English, Italian",,FALSE,en,,/5diOIko5Qt8r7vBMNbPeSxkX2Ju.jpg,/sr6uexNhDAcgvv10WhAhtkoULpP.jpg
43670,tt0339727,Stateside,Stateside,The film follows a rebellious teenager on leave from the Marines who falls in love with a female musician. The relationship is threatened when she develops a mental illness...,Boy in a flack jacket meets girl in a straight jacket.,Released,97,5/23/2004,16000000,174318,2.4296,5,29,"Drama, Music, Romance","Overseas FilmGroup, Seven Hills Pictures, Cinealpha KG, Cinerenta","Germany, United States of America","English, Russian",,FALSE,en,,/dPRZpD44rA1ZqgcLjKyVw4fIlgo.jpg,/4FNhPAjmkStEcZgQzSXyRn1kJwo.jpg
43693,tt0024865,The Barretts of Wimpole Street,The Barretts of Wimpole Street,"Remarkable poet Elizabeth Barrett is slowly recovering from a crippling illness with the help of her siblings, especially her youngest sister, Henrietta, but feels stifled by the domestic tyranny of her wealthy widowed father. When she meets fellow poet Robert Browning in a romantic first encounter, her heart belongs to him. However, her controlling father has no intention of allowing her out of his sight.","When poets love, Heaven and Earth fall back to watch!",Released,109,9/21/1934,820000,1258000,1.7311,6,19,"Drama, Romance",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/c8BfdxxwmABRATDnMVJNmW2sLhG.jpg,/lLmI59EA1gYKuOLVIHt1n7N0CnN.jpg
43740,tt0818170,The Little Traitor,Ha-boged Hakatan,"Based on the novel ""Panther in the Basement"" by the world-renowned author, Amos Oz, the movie takes place in Palestine in 1947, just a few months before Israel becomes a state. Proffy Liebowitz, a militant yet sensitive eleven year old wants nothing more than for the occupying British to get the hell out of his land.",,Released,88,09/01/2007,1700000,450000,0.9588,6.1,16,Drama,"Evanstone Films Ltd., Panther Productions","Israel, United States of America","English, Hebrew",,FALSE,en,,/nOdo0BbyrR2jlrdW9ONWOdLbDfd.jpg,/t9fKeZa2U1bDbxgRYvDK4mrWixE.jpg
43742,tt0110391,Love Affair,Love Affair,"Ex-football star Mike Gambril meets Terry McKay on a flight to Sydney, which is forced to land on a small atoll. They become romantic on board a ship sent to take them to a larger island. They agree to meet in New York three months later to see if the attraction is real. One shows up but the other doesn't. However, a chance meeting brings them together again.",,Released,108,10/21/1994,60000000,18300000,4.8162,5.4,59,"Drama, Romance","Warner Bros. Pictures, Mulholland Productions",United States of America,English,,FALSE,en,,/mQMCPf0GUaOjKYFTdmL8w8udnJX.jpg,/xYwP4TxroayV2g4ko4eQM0hgADg.jpg
43754,tt1270296,The Killing Jar,The Killing Jar,"A stranger armed with a shotgun takes seven patrons hostage in a remote roadside diner. But as the body count increases, the desperate survivors discover that one of the hostages may be even more dangerous than their captor.","Eeny, meeny, miny, murder.",Released,92,2/14/2010,400000,2339,1.4067,5.465,85,"Drama, Thriller, Mystery",,United States of America,English,,FALSE,en,,/rcRI9gNSBWpx8YzNYcLXeJk3uI5.jpg,/4ihfgBGU8bTkz6Z4dhrc5Nx5O6g.jpg
43808,tt0032206,Andy Hardy Meets Debutante,Andy Hardy Meets Debutante,"Judge Hardy takes his family to New York City, where Andy quickly falls in love with a socialite. He finds the high society life too expensive, and eventually decides that he liked it better back home.",Look out Broadway --  Here comes Mickey!,Released,88,07/05/1940,436000,2623000,1.3819,5.1,8,"Comedy, Family, Romance",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,Andy Hardy Collection,/2uI4URBcIYzJr3fsDparKP9Cb0N.jpg,/tXCCSs1kxfYU22uzegXC3ypCyY8.jpg
43816,tt0032840,New Moon,New Moon,A revolutionary leader romances a French aristocrat in Louisiana.,Songs! THRILLS! Romance!,Released,105,6/28/1940,1487000,2527000,1.5399,6.8,6,"Romance, Adventure",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/AvHH1WvLVsdNFY6rTr8F24He3Vk.jpg,/g1pX2VophUzH4gQ9qRsvCFc8T31.jpg
43824,tt0033238,Waterloo Bridge,Waterloo Bridge,"On the eve of World War II, a British officer revisits Waterloo Bridge and recalls the young man he was at the beginning of World War I and the young ballerina he met just before he left for the front.","""Gone With the Wind's"" Tempestuous ""Scarlett O'Hara""! Romantic Robert Taylor! Exciting Together!",Released,109,5/17/1940,1200000,2500000,2.7113,7.484,155,"Drama, Romance",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/2XgYKd5tr5b9W5Yfq80yTZqf3hy.jpg,/7hVg5V8SVIRNyAkivKkOC5LbKIG.jpg
43839,tt0029852,Alexander's Ragtime Band,Alexander's Ragtime Band,"Classical violinist, Roger Grant disappoints his family and teacher when he organizes a jazz band, but he and the band become successful. Roger falls in love with the band's singer, Stella, but his reluctance to lose her leads him to thwart her efforts to become a solo star. When the World War separates them in 1917, Stella marries Roger's best friend and, when Roger returns home after the war, an important concert at Carnegie Hall brings the corners of the romantic triangle together.",An American Cavalcade!,Released,106,5/24/1938,2000000,4000000,1.8866,6.6,27,"Music, Drama, Romance",20th Century Fox,United States of America,English,,FALSE,en,,/tbmvwfs9C1eTIyCcuhdbnFeuQSA.jpg,/zEHZBRf97910p4bL8HL398ZUs5p.jpg
43846,tt0030386,Love Finds Andy Hardy,Love Finds Andy Hardy,Andy Hardy becomes entangled with three different girls all at the same time.,The new story of Judge Hardy's family!,Released,91,7/22/1938,212000,2247000,1.345,6.1,26,"Comedy, Romance",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,Andy Hardy Collection,/eemy6iN41zgrKFmPUZo49SaJVbo.jpg,/u83bKahLAsAhYCbcP4C1XzEDt4p.jpg
43849,tt0030817,Sweethearts,Sweethearts,The team behind a successful Broadway production tries to stop the married stars from transitioning to Hollywood.,America's Singing Sweethearts are Sweethearts!,Released,114,12/30/1938,1900000,3200000,1.2551,5.5,11,"Music, Comedy",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/tJ0CHSlAQTGxUS5IRu4zqvFis4f.jpg,/nWwzoR4NYbn1IGlA5VQjna4nO0g.jpg
43853,tt0030182,The Girl of the Golden West,The Girl of the Golden West,A bandit disguises himself as an officer in an attempt to woo a saloon singer.,When a western beauty meets a dangerous bandit you'll get a thrill at their hot-blooded romance!,Released,121,3/18/1938,1680000,2882000,1.2588,4.6,4,"Romance, Western",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/g2ck27lESz9HLfSyD4dzBQVy3FH.jpg,/8OKodBrhTUpo68v3KmAcjwbpfCc.jpg
43862,tt0029222,Maytime,Maytime,"An aging opera singer looks back on her long life, including her relationships with her vocal teacher and a student.",Maytime means extented playtime!,Released,132,3/26/1937,2126000,4006000,0.7873,6.545,11,"Music, Drama, Romance",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/3P3dENCnuxlhyer7k0SzESRVZrW.jpg,/x5yGznecbwo82KuRLOmMqJZdVMp.jpg
