id,title,runtime,release_date,budget,revenue,popularity,vote_average,vote_count,belongs_to_collection,missingness_score,has_tagline,has_homepage,num_same_title,changed_title,num_genres,main_genre,Comedy,Drama,Documentary,Science Fiction,Western,TV Movie,Mystery,Romance,Thriller,Animation,Family,Adventure,War,Music,History,Action,Fantasy,Crime,Horror,top10_prod_comps,num_production_companies,main_production_country,num_production_countries,num_spoken_languages,lang_group,is_english_spoken,popularity_percentile,weighted_rating,release_year,Season,return_on_investment_ratio,profit_loss
90,Beverly Hills Cop,105,1984-12-05,14000000,316360478,11.2053,7.201,4275,1,0,1,1,1,False,3,Comedy,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Paramount Pictures,3,United States of America,1,1,1,True,93.26836129810107,7.200796706517827,1984,Winter,21.597177,302360478
93,Anatomy of a Murder,161,1959-07-01,2000000,8000000,5.741,7.845,1042,0,0,1,0,1,False,3,Crime,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Columbia Pictures,2,United States of America,1,1,1,True,77.76549783984728,7.843549105532339,1959,Summer,3.0,6000000
95,Armageddon,151,1998-07-01,140000000,553799566,12.7813,6.836,8109,0,0,1,0,1,False,4,Action,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,Other,3,United States of America,1,2,2,True,94.89601125288858,6.835937819614085,1998,Summer,2.9557111857142857,413799566
96,Beverly Hills Cop II,103,1987-05-18,28000000,299965036,8.396,6.517,2609,1,0,1,1,1,False,3,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Paramount Pictures,3,United States of America,1,1,1,True,88.46578920928363,6.516929010371736,1987,Spring,9.713037,271965036
97,Tron,96,1982-07-09,17000000,33000000,9.4973,6.638,2363,1,0,1,1,1,False,3,Science Fiction,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,Walt Disney,2,United States of America,1,1,1,True,90.84698080980608,6.63787043869299,1982,Summer,0.9411764705882353,16000000
98,Gladiator,155,2000-05-04,103000000,465361176,31.1218,8.218,19598,1,0,1,0,1,False,3,Action,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,Universal Pictures,5,United Kingdom,2,1,1,True,99.26655279815131,8.217903756164612,2000,Spring,3.518069669902913,362361176
99,All About My Mother,101,1999-04-16,8272296,67956089,4.3785,7.6,1930,0,0,1,0,1,True,2,Comedy,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,3,Spain,2,2,2,False,67.7283231186577,7.5993431988970634,1999,Spring,7.2149005548157366,59683793
100,"Lock, Stock and Two Smoking Barrels",105,1998-08-28,1350000,28356188,3.0413,8.115,6740,0,0,1,1,1,False,2,Comedy,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Other,3,United Kingdom,2,1,1,True,51.301115241635685,8.114735457212614,1998,Summer,20.004583703703705,27006188
101,Lֳ©on: The Professional,111,1994-09-14,16000000,45284974,19.7813,8.302,15159,0,0,1,0,1,True,3,Crime,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Other,2,France,1,3,3,True,98.26183060383804,8.301870034107534,1994,Fall,1.830310875,29284974
103,Taxi Driver,114,1976-02-09,1900000,28579636,13.1706,8.134,12602,0,0,1,0,1,False,2,Crime,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Columbia Pictures,3,United States of America,1,2,2,True,95.22756957701196,8.133856995720878,1976,Winter,14.041913684210526,26679636
